원본행,항목,세부항목,1-1,1-2,2-1,2-2,3-1,3-2,편성,교과군별이수학점,필수이수학점,비고
Table0_Row38,학교지정과목,지정과목 이수 학점 소계,30,30,17,17,10,3,107,,,
Table1_Row42,선택과목 이수학점 소계,선택과목 이수학점 소계,0,0,13,13,17,24,67,,,
Table1_Row43,교과 이수학점 총계,교과 이수학점 총계,30,30,30,30,27,27,174,,,
Table1_Row44,창의적체험활동,창의적체험활동,2(32),2(32),2(32),2(32),2(32),2(32),18(288시간),,,
Table1_Row45,창의적체험활동,창의적체험활동,2(32),2(32),2(32),2(32),2(32),2(32),18(288시간),,,
Table1_Row46,창의적체험활동,창의적체험활동,1(16),1(16),1(16),1(16),1(16),1(16),18(288시간),,,
Table1_Row47,창의적 체험활동 소계,창의적 체험활동 소계,3(48),3(48),3(48),3(48),3(48),3(48),18(288시간),,,
Table1_Row48,이수 학점 총계,이수 학점 총계,33,33,33,33,30,30,192,,,
