원본행,항목,세부항목,1-1,1-2,2-1,2-2,3-1,3-2,편성,교과군별이수학점,필수이수학점,비고
Table0_Row39,학교지정과목,지정과목 이수 학점 소계,30,30,17,17,13,3,110,,,
Table1_Row38,선택과목 이수학점 소계,선택과목 이수학점 소계,0,0,12,12,15,25,64,,,
Table1_Row39,교과 이수학점 총계,교과 이수학점 총계,30,30,29,29,28,28,174,,,
Table1_Row40,창의적체험활동,창의적체험활동,2(32),2(32),2(32),2(32),2(32),2(32),18(288시간),,,
Table1_Row41,창의적체험활동,창의적체험활동,2(32),2(32),2(32),2(32),2(32),2(32),18(288시간),,,
Table1_Row42,창의적체험활동,창의적체험활동,1(16),1(16),1(16),1(16),1(16),1(16),18(288시간),,,
Table1_Row43,창의적 체험활동 소계,창의적 체험활동 소계,3(48),3(48),3(48),3(48),3(48),3(48),18(288시간),,,
Table1_Row44,이수 학점 총계,이수 학점 총계,33,33,32,32,31,31,192,,,
